point_id,cell_id,cut,time,x,y,vx,vy,velocity,x_parallel,x_perpendicular,cut_length
0,220530-E1_Out,False,3,368.0,192.0,,,,0.7817869415807561,28.094556834222185,93.43446901438462
2,220530-E1_Out,False,3,374.0,224.0,,,,0.4470790378006873,37.14903115108008,93.43446901438462
6,220530-E1_Out,False,3,316.0,184.0,,,,0.8134020618556702,-24.43423742953495,93.43446901438462
5,220530-E1_Out,False,3,315.0,188.0,,,,0.7697594501718215,-25.044290663649488,93.43446901438462
3,220530-E1_Out,False,3,323.0,202.0,,,,0.6288659793814434,-15.732951827164422,93.43446901438462
1,220530-E1_Out,False,3,306.0,251.0,,,,0.0893470790378007,-27.9340165094552,93.43446901438462
4,220530-E1_Out,False,3,325.0,218.0,,,,0.4604810996563575,-12.201064682290776,93.43446901438462
4,220530-E1_Out,False,4,311.0,217.0,-14.0,-1.0,14.0356688476182,0.4567010309278351,-26.23228906692517,93.43446901438462
1,220530-E1_Out,False,4,297.0,250.0,-9.0,-1.0,9.055385138137416,0.0907216494845361,-36.98849082631309,93.43446901438462
3,220530-E1_Out,False,4,311.0,202.0,-12.0,0.0,12.0,0.6164948453608249,-27.677151989828022,93.43446901438462
0,220530-E1_Out,False,4,371.0,192.0,3.0,0.0,3.0,0.7848797250859108,31.080606874888083,93.43446901438462
5,220530-E1_Out,False,4,310.0,182.0,-5.0,-6.0,7.810249675906654,0.8285223367697596,-30.59898590058713,93.43446901438462
6,220530-E1_Out,False,4,309.0,182.0,-7.0,-2.0,7.280109889280518,0.827491408934708,-31.59433591414243,93.43446901438462
2,220530-E1_Out,False,4,377.0,224.0,3.0,0.0,3.0,0.450171821305842,40.135081191745975,93.43446901438462
2,220530-E1_Out,False,5,378.0,224.0,1.0,0.0,1.0,0.4512027491408935,41.13043120530127,93.43446901438462
1,220530-E1_Out,False,5,295.0,250.0,-2.0,0.0,2.0,0.088659793814433,-38.979190853423695,93.43446901438462
4,220530-E1_Out,False,5,306.0,218.0,-5.0,1.0,5.0990195135927845,0.4408934707903781,-31.11271493984148,93.43446901438462
3,220530-E1_Out,False,5,307.0,201.0,-4.0,-1.0,4.123105625617661,0.6230240549828179,-31.75487623890941,93.43446901438462
6,220530-E1_Out,False,5,307.0,181.0,-2.0,-1.0,2.23606797749979,0.8360824742268042,-33.68136013611322,93.43446901438462
5,220530-E1_Out,False,5,309.0,181.0,-1.0,-1.0,1.4142135623730951,0.8381443298969072,-31.69066010900262,93.43446901438462
0,220530-E1_Out,False,5,372.0,193.0,1.0,1.0,1.4142135623730951,0.775257731958763,32.172281083303574,93.43446901438462
0,220530-E1_Out,False,6,374.0,194.0,2.0,1.0,2.23606797749979,0.7666666666666667,34.25930530527437,93.43446901438462
6,220530-E1_Out,False,6,306.0,179.0,-1.0,-2.0,2.23606797749979,0.8563573883161514,-34.869358539388905,93.43446901438462
5,220530-E1_Out,False,6,308.0,180.0,-1.0,-1.0,1.4142135623730951,0.8477663230240551,-32.78233431741811,93.43446901438462
2,220530-E1_Out,False,6,379.0,224.0,1.0,0.0,1.0,0.4522336769759451,42.125781218856574,93.43446901438462
1,220530-E1_Out,False,6,294.0,250.0,-1.0,0.0,1.0,0.0876288659793814,-39.97454086697899,93.43446901438462
4,220530-E1_Out,False,6,304.0,217.0,-2.0,-1.0,2.23606797749979,0.4494845360824743,-33.19973916181227,93.43446901438462
3,220530-E1_Out,False,6,306.0,201.0,-1.0,0.0,1.0,0.6219931271477664,-32.750226252464714,93.43446901438462
3,220530-E1_Out,False,7,305.0,201.0,-1.0,0.0,1.0,0.6209621993127148,-33.74557626602002,93.43446901438462
4,220530-E1_Out,False,7,303.0,217.0,-1.0,0.0,1.0,0.4484536082474227,-34.19508917536757,93.43446901438462
1,220530-E1_Out,False,7,294.0,250.0,0.0,0.0,0.0,0.0876288659793814,-39.97454086697899,93.43446901438462
2,220530-E1_Out,False,7,379.0,223.0,0.0,-1.0,1.0,0.4628865979381444,42.02945702399639,93.43446901438462
5,220530-E1_Out,False,7,308.0,180.0,0.0,0.0,0.0,0.8477663230240551,-32.78233431741811,93.43446901438462
6,220530-E1_Out,False,7,305.0,177.0,-1.0,-2.0,2.23606797749979,0.8766323024054985,-36.05735694266458,93.43446901438462
0,220530-E1_Out,False,7,375.0,194.0,1.0,0.0,1.0,0.7676975945017183,35.25465531882966,93.43446901438462
0,220530-E1_Out,False,8,375.0,193.0,0.0,-1.0,1.0,0.7783505154639176,35.158331123969475,93.43446901438462
2,220530-E1_Out,False,8,379.0,222.0,0.0,-1.0,1.0,0.4735395189003437,41.9331328291362,93.43446901438462
5,220530-E1_Out,False,8,307.0,179.0,-1.0,-1.0,1.4142135623730951,0.8573883161512028,-33.8740085258336,93.43446901438462
6,220530-E1_Out,False,8,303.0,177.0,-2.0,0.0,2.0,0.8745704467353953,-38.04805696977519,93.43446901438462
3,220530-E1_Out,False,8,303.0,202.0,-2.0,1.0,2.23606797749979,0.6082474226804124,-35.63995209827043,93.43446901438462
4,220530-E1_Out,False,8,301.0,216.0,-2.0,-1.0,2.23606797749979,0.457044673539519,-36.28211339733837,93.43446901438462
1,220530-E1_Out,False,8,293.0,250.0,-1.0,0.0,1.0,0.0865979381443299,-40.96989088053429,93.43446901438462
1,220530-E1_Out,False,9,293.0,250.0,0.0,0.0,0.0,0.0865979381443299,-40.96989088053429,93.43446901438462
0,220530-E1_Out,False,9,375.0,192.0,0.0,-1.0,1.0,0.7890034364261169,35.06200692910928,93.43446901438462
4,220530-E1_Out,False,9,301.0,216.0,0.0,0.0,0.0,0.457044673539519,-36.28211339733837,93.43446901438462
3,220530-E1_Out,False,9,302.0,201.0,-1.0,-1.0,1.4142135623730951,0.6178694158075602,-36.73162630668592,93.43446901438462
6,220530-E1_Out,False,9,302.0,177.0,-1.0,0.0,1.0,0.8735395189003438,-39.043406983330485,93.43446901438462
5,220530-E1_Out,False,9,306.0,178.0,-1.0,-1.0,1.4142135623730951,0.8670103092783507,-34.96568273424909,93.43446901438462
2,220530-E1_Out,False,9,379.0,221.0,0.0,-1.0,1.0,0.484192439862543,41.836808634276,93.43446901438462
1,220530-E1_Out,False,10,293.0,250.0,0.0,0.0,0.0,0.0865979381443299,-40.96989088053429,93.43446901438462
0,220530-E1_Out,False,10,375.0,192.0,0.0,0.0,0.0,0.7890034364261169,35.06200692910928,93.43446901438462
6,220530-E1_Out,False,10,301.0,177.0,-1.0,0.0,1.0,0.8725085910652923,-40.03875699688578,93.43446901438462
5,220530-E1_Out,False,10,306.0,178.0,0.0,0.0,0.0,0.8670103092783507,-34.96568273424909,93.43446901438462
4,220530-E1_Out,False,10,300.0,216.0,-1.0,0.0,1.0,0.4560137457044674,-37.27746341089367,93.43446901438462
6,220530-E1_Out,False,11,300.0,177.0,-1.0,0.0,1.0,0.8714776632302408,-41.03410701044109,93.43446901438462
6,220530-E1_Out,False,12,299.0,177.0,-1.0,0.0,1.0,0.8704467353951892,-42.02945702399639,93.43446901438462
